,,,,,,,,,,const,CRIM,ZN,CHAS,NOX,,RM,DIS,RAD,TAX,PTRATIO,B,LSTAT,,,,,,
112,0.12329,0,10.01,0,0.547,5.913,92.9,2.3534,6,432,17.8,394.95,16.21,18.8,36.3411,-0.013364636,0,0,-9.504672,22.4788608,-3.51292018,1.7976,-5.0976,-16.8477,3.673035,-8.471346,20.84299298,
113,0.22212,0,10.01,0,0.547,6.092,95.4,2.548,6,432,17.8,396.9,17.09,18.7,36.3411,-0.024077808,0,0,-9.504672,23.1593472,-3.8033996,1.7976,-5.0976,-16.8477,3.69117,-8.931234,20.78053379,
114,0.14231,0,10.01,0,0.547,6.254,84.2,2.2565,6,432,17.8,388.74,10.45,18.5,36.3411,-0.015426404,0,0,-9.504672,23.7752064,-3.36827755,1.7976,-5.0976,-16.8477,3.615282,-5.46117,25.23434245,
115,0.17134,0,10.01,0,0.547,5.928,88.2,2.4631,6,432,17.8,344.91,15.76,18.3,36.3411,-0.018573256,0,0,-9.504672,22.5358848,-3.67666937,1.7976,-5.0976,-16.8477,3.207663,-8.236176,20.50085717,
116,0.13158,0,10.01,0,0.547,6.176,72.5,2.7301,6,432,17.8,393.3,12.04,21.2,36.3411,-0.014263272,0,0,-9.504672,23.4786816,-4.07522027,1.7976,-5.0976,-16.8477,3.65769,-6.292104,23.44351206,
117,0.15098,0,10.01,0,0.547,6.021,82.6,2.7474,6,432,17.8,394.51,10.3,19.2,36.3411,-0.016366232,0,0,-9.504672,22.8894336,-4.10104398,1.7976,-5.0976,-16.8477,3.668943,-5.38278,23.74691439,
118,0.13058,0,10.01,0,0.547,5.872,73.1,2.4775,6,432,17.8,338.63,15.37,20.4,36.3411,-0.014154872,0,0,-9.504672,22.3229952,-3.69816425,1.7976,-5.0976,-16.8477,3.149259,-8.032362,20.41630108,
119,0.14476,0,10.01,0,0.547,5.731,65.2,2.7592,6,432,17.8,391.5,13.61,19.3,36.3411,-0.015691984,0,0,-9.504672,21.7869696,-4.11865784,1.7976,-5.0976,-16.8477,3.64095,-7.112586,20.86971178,
120,0.06899,0,25.65,0,0.581,5.87,69.7,2.2577,2,188,19.1,389.15,14.37,22,36.3411,-0.007478516,0,0,-10.095456,22.315392,-3.37006879,0.5992,-2.2184,-18.07815,3.619095,-7.509762,21.59547169,
121,0.07165,0,25.65,0,0.581,6.004,84.1,2.1974,2,188,19.1,377.67,14.27,20.3,36.3411,-0.00776686,0,0,-10.095456,22.8248064,-3.28005898,0.5992,-2.2184,-18.07815,3.512331,-7.457502,22.14010356,
122,0.09299,0,25.65,0,0.581,5.961,92.9,2.0869,2,188,19.1,378.09,17.93,20.5,36.3411,-0.010080116,0,0,-10.095456,22.6613376,-3.11511563,0.5992,-2.2184,-18.07815,3.516237,-9.370218,20.23045485,
123,0.15038,0,25.65,0,0.581,5.856,97,1.9444,2,188,19.1,370.31,25.41,17.3,36.3411,-0.016301192,0,0,-10.095456,22.2621696,-2.90240588,0.5992,-2.2184,-18.07815,3.443883,-13.279266,16.05637353,
124,0.09849,0,25.65,0,0.581,5.879,95.8,2.0063,2,188,19.1,379.38,17.58,18.8,36.3411,-0.010676316,0,0,-10.095456,22.3496064,-2.99480401,0.5992,-2.2184,-18.07815,3.528234,-9.187308,20.23334607,
125,0.16902,0,25.65,0,0.581,5.986,88.4,1.9929,2,188,19.1,385.02,14.81,21.4,36.3411,-0.018321768,0,0,-10.095456,22.7563776,-2.97480183,0.5992,-2.2184,-18.07815,3.580686,-7.739706,22.152528,
126,0.38735,0,25.65,0,0.581,5.613,95.6,1.7572,2,188,19.1,359.29,27.26,15.7,36.3411,-0.04198874,0,0,-10.095456,21.3383808,-2.62297244,0.5992,-2.2184,-18.07815,3.341397,-14.246076,14.31703462,
127,0.25915,0,21.89,0,0.624,5.693,96,1.7883,4,437,21.2,392.11,17.19,16.2,36.3411,-0.02809186,0,0,-10.842624,21.6425088,-2.66939541,1.1984,-5.1566,-20.0658,3.646623,-8.983494,15.08262653,
128,0.32543,0,21.89,0,0.624,6.431,98.8,1.8125,4,437,21.2,396.9,15.39,18,36.3411,-0.035276612,0,0,-10.842624,24.4480896,-2.70551875,1.1984,-5.1566,-20.0658,3.69117,-8.042814,18.83012624,
129,0.88125,0,21.89,0,0.624,5.637,94.7,1.9799,4,437,21.2,396.9,18.34,14.3,36.3411,-0.0955275,0,0,-10.842624,21.4296192,-2.95539673,1.1984,-5.1566,-20.0658,3.69117,-9.584484,13.95985697,
130,0.34006,0,21.89,0,0.624,6.458,98.9,2.1185,4,437,21.2,395.04,12.6,19.2,36.3411,-0.036862504,0,0,-10.842624,24.5507328,-3.16228495,1.1984,-5.1566,-20.0658,3.673872,-6.58476,19.91517335,
131,1.19294,0,21.89,0,0.624,6.326,97.7,2.271,4,437,21.2,396.9,12.26,19.6,36.3411,-0.129314696,0,0,-10.842624,24.0489216,-3.3899217,1.1984,-5.1566,-20.0658,3.69117,-6.407076,19.2882552,
132,0.59005,0,21.89,0,0.624,6.372,97.9,2.3274,4,437,21.2,385.76,11.12,23,36.3411,-0.06396142,0,0,-10.842624,24.2237952,-3.47410998,1.1984,-5.1566,-20.0658,3.587568,-5.811312,19.9364558,
133,0.32982,0,21.89,0,0.624,5.822,95.4,2.4699,4,437,21.2,388.69,15.03,18.4,36.3411,-0.035752488,0,0,-10.842624,22.1329152,-3.68681973,1.1984,-5.1566,-20.0658,3.614817,-7.854678,15.64495798,
134,0.97617,0,21.89,0,0.624,5.757,98.4,2.346,4,437,21.2,262.76,17.31,15.6,36.3411,-0.105816828,0,0,-10.842624,21.8858112,-3.5018742,1.1984,-5.1566,-20.0658,2.443668,-9.046206,13.15005817,
135,0.55778,0,21.89,0,0.624,6.335,98.2,2.1107,4,437,21.2,394.67,16.96,18.1,36.3411,-0.060463352,0,0,-10.842624,24.083136,-3.15064189,1.1984,-5.1566,-20.0658,3.670431,-8.863296,17.15364176,
136,0.32264,0,21.89,0,0.624,5.942,93.5,1.9669,4,437,21.2,378.25,16.9,17.4,36.3411,-0.034974176,0,0,-10.842624,22.5891072,-2.93599163,1.1984,-5.1566,-20.0658,3.517725,-8.83194,15.77840239,
137,0.35233,0,21.89,0,0.624,6.454,98.4,1.8498,4,437,21.2,394.08,14.59,17.1,36.3411,-0.038192572,0,0,-10.842624,24.5355264,-2.76119646,1.1984,-5.1566,-20.0658,3.664944,-7.624734,19.25082337,
138,0.2498,0,21.89,0,0.624,5.857,98.2,1.6686,4,437,21.2,392.04,21.32,13.3,36.3411,-0.02707832,0,0,-10.842624,22.2659712,-2.49071922,1.1984,-5.1566,-20.0658,3.645972,-11.141832,13.72678966,
139,0.54452,0,21.89,0,0.624,6.151,97.9,1.6687,4,437,21.2,396.9,18.46,17.8,36.3411,-0.059025968,0,0,-10.842624,23.3836416,-2.49086849,1.1984,-5.1566,-20.0658,3.69117,-9.647196,16.35219714,
140,0.2909,0,21.89,0,0.624,6.174,93.6,1.6119,4,437,21.2,388.08,24.16,14,36.3411,-0.03153356,0,0,-10.842624,23.4710784,-2.40608313,1.1984,-5.1566,-20.0658,3.609144,-12.626016,13.49106571,
141,1.62864,0,21.89,0,0.624,5.019,100,1.4394,4,437,21.2,396.9,34.41,14.4,36.3411,-0.176544576,0,0,-10.842624,19.0802304,-2.14859238,1.1984,-5.1566,-20.0658,3.69117,-17.982666,3.938073444,
142,3.32105,0,19.58,1,0.871,5.403,100,1.3216,5,403,14.7,396.9,26.82,13.4,36.3411,-0.36000182,0,2.7187,-15.134496,20.5400448,-1.97275232,1.498,-4.7554,-13.91355,3.69117,-14.016132,14.63668266,
143,4.0974,0,19.58,0,0.871,5.468,100,1.4118,5,403,14.7,396.9,26.42,15.6,36.3411,-0.44415816,0,0,-15.134496,20.7871488,-2.10739386,1.498,-4.7554,-13.91355,3.69117,-13.807092,12.15532878,
144,2.77974,0,19.58,0,0.871,4.903,97.8,1.3459,5,403,14.7,396.9,29.29,11.8,36.3411,-0.301323816,0,0,-15.134496,18.6392448,-2.00902493,1.498,-4.7554,-13.91355,3.69117,-15.306954,8.748766054,
145,2.37934,0,19.58,0,0.871,6.13,100,1.4191,5,403,14.7,172.91,27.8,13.8,36.3411,-0.257920456,0,0,-15.134496,23.303808,-2.11829057,1.498,-4.7554,-13.91355,1.608063,-14.52828,12.04303397,
146,2.15505,0,19.58,0,0.871,5.628,100,1.5166,5,403,14.7,169.27,16.65,15.6,36.3411,-0.23360742,0,0,-15.134496,21.3954048,-2.26382882,1.498,-4.7554,-13.91355,1.574211,-8.70129,15.80654356,
147,2.36862,0,19.58,0,0.871,4.926,95.7,1.4608,5,403,14.7,391.71,29.53,14.6,36.3411,-0.256758408,0,0,-15.134496,18.7266816,-2.18053616,1.498,-4.7554,-13.91355,3.642903,-15.432378,8.535566032,
148,2.33099,0,19.58,0,0.871,5.186,93.8,1.5296,5,403,14.7,356.99,28.32,17.8,36.3411,-0.252679316,0,0,-15.134496,19.7150976,-2.28323392,1.498,-4.7554,-13.91355,3.320007,-14.800032,9.734813364,
149,2.73397,0,19.58,0,0.871,5.597,94.9,1.5257,5,403,14.7,351.85,21.45,15.4,36.3411,-0.296362348,0,0,-15.134496,21.2775552,-2.27741239,1.498,-4.7554,-13.91355,3.272205,-11.20977,14.80186946,
150,1.6566,0,19.58,0,0.871,6.122,97.3,1.618,5,403,14.7,372.8,14.1,21.5,36.3411,-0.17957544,0,0,-15.134496,23.2733952,-2.4151886,1.498,-4.7554,-13.91355,3.46704,-7.36866,20.81266516,
151,1.49632,0,19.58,0,0.871,5.404,100,1.5916,5,403,14.7,341.6,13.28,19.6,36.3411,-0.162201088,0,0,-15.134496,20.5438464,-2.37578132,1.498,-4.7554,-13.91355,3.17688,-6.940128,18.27826999,
152,1.12658,0,19.58,1,0.871,5.012,88,1.6102,5,403,14.7,343.28,12.12,15.3,36.3411,-0.122121272,0,2.7187,-15.134496,19.0536192,-2.40354554,1.498,-4.7554,-13.91355,3.192504,-6.333912,20.14089839,
153,2.14918,0,19.58,0,0.871,5.709,98.5,1.6232,5,403,14.7,261.95,15.79,19.4,36.3411,-0.232971112,0,0,-15.134496,21.7033344,-2.42295064,1.498,-4.7554,-13.91355,2.436135,-8.251854,17.26734765,
154,1.41385,0,19.58,1,0.871,6.129,96,1.7494,5,403,14.7,321.02,15.12,17,36.3411,-0.15326134,0,2.7187,-15.134496,23.3000064,-2.61132938,1.498,-4.7554,-13.91355,2.985486,-7.901712,22.37354368,
155,3.53501,0,19.58,1,0.871,6.152,82.6,1.7455,5,403,14.7,88.01,15.02,15.6,36.3411,-0.383195084,0,2.7187,-15.134496,23.3874432,-2.60550785,1.498,-4.7554,-13.91355,0.818493,-7.849452,20.12213527,
156,2.44668,0,19.58,0,0.871,5.272,94,1.7364,5,403,14.7,88.63,16.14,13.1,36.3411,-0.265220112,0,0,-15.134496,20.0420352,-2.59192428,1.498,-4.7554,-13.91355,0.824259,-8.434764,13.61003981,
157,1.22358,0,19.58,0,0.605,6.943,97.4,1.8773,5,403,14.7,363.43,4.59,41.3,36.3411,-0.132636072,0,0,-10.51248,26.3945088,-2.80224571,1.498,-4.7554,-13.91355,3.379899,-2.398734,33.09846202,
158,1.34284,0,19.58,0,0.605,6.066,100,1.7573,5,403,14.7,353.89,6.43,24.3,36.3411,-0.145563856,0,0,-10.51248,23.0605056,-2.62312171,1.498,-4.7554,-13.91355,3.291177,-3.360318,28.88034903,
159,1.42502,0,19.58,0,0.871,6.51,100,1.7659,5,403,14.7,364.31,7.39,23.3,36.3411,-0.154472168,0,0,-15.134496,24.748416,-2.63595893,1.498,-4.7554,-13.91355,3.388083,-3.862014,25.5197079,
160,1.27346,0,19.58,1,0.605,6.25,92.6,1.7984,5,403,14.7,338.92,5.5,27,36.3411,-0.138043064,0,2.7187,-10.51248,23.76,-2.68447168,1.498,-4.7554,-13.91355,3.151956,-2.8743,32.59151126,
161,1.46336,0,19.58,0,0.605,7.489,90.8,1.9709,5,403,14.7,374.43,1.73,50,36.3411,-0.158628224,0,0,-10.51248,28.4701824,-2.94196243,1.498,-4.7554,-13.91355,3.482199,-0.904098,36.60536275,
162,1.83377,0,19.58,1,0.605,7.802,98.2,2.0407,5,403,14.7,389.61,1.92,50,36.3411,-0.198780668,0,2.7187,-10.51248,29.6600832,-3.04615289,1.498,-4.7554,-13.91355,3.623373,-1.003392,40.41150064,
163,1.51902,0,19.58,1,0.605,8.375,93.9,2.162,5,403,14.7,388.45,3.32,50,36.3411,-0.164661768,0,2.7187,-10.51248,31.8384,-3.2272174,1.498,-4.7554,-13.91355,3.612585,-1.735032,41.70044383,
164,2.24236,0,19.58,0,0.605,5.854,91.8,2.422,5,403,14.7,395.11,11.64,22.7,36.3411,-0.243071824,0,0,-10.51248,22.2545664,-3.6153194,1.498,-4.7554,-13.91355,3.674523,-6.083064,24.64530418,
165,2.924,0,19.58,0,0.605,6.101,93,2.2834,5,403,14.7,240.16,9.81,25,36.3411,-0.3169616,0,0,-10.51248,23.1935616,-3.40843118,1.498,-4.7554,-13.91355,2.233488,-5.126706,25.23262082,
166,2.01019,0,19.58,0,0.605,7.929,96.2,2.0459,5,403,14.7,369.3,3.7,50,36.3411,-0.217904596,0,0,-10.51248,30.1428864,-3.05391493,1.498,-4.7554,-13.91355,3.43449,-1.93362,37.02960687,
167,1.80028,0,19.58,0,0.605,5.877,79.2,2.4259,5,403,14.7,227.61,12.14,23.8,36.3411,-0.195150352,0,0,-10.51248,22.3420032,-3.62114093,1.498,-4.7554,-13.91355,2.116773,-6.344364,22.95579092,
168,2.3004,0,19.58,0,0.605,6.319,96.1,2.1,5,403,14.7,297.09,11.1,23.8,36.3411,-0.24936336,0,0,-10.51248,24.0223104,-3.13467,1.498,-4.7554,-13.91355,2.762937,-5.80086,26.25802404,
169,2.44953,0,19.58,0,0.605,6.402,95.2,2.2625,5,403,14.7,330.04,11.32,22.3,36.3411,-0.265529052,0,0,-10.51248,24.3378432,-3.37723375,1.498,-4.7554,-13.91355,3.069372,-5.915832,26.5062904,
170,1.20742,0,19.58,0,0.605,5.875,94.6,2.4259,5,403,14.7,292.29,14.43,17.4,36.3411,-0.130884328,0,0,-10.51248,22.3344,-3.62114093,1.498,-4.7554,-13.91355,2.718297,-7.541118,22.41722374,
171,2.3139,0,19.58,0,0.605,5.88,97.3,2.3887,5,403,14.7,348.13,12.03,19.1,36.3411,-0.25082676,0,0,-10.51248,22.353408,-3.56561249,1.498,-4.7554,-13.91355,3.237609,-6.286878,24.14536975,
172,0.13914,0,4.05,0,0.51,5.572,88.5,2.5961,5,296,16.6,396.9,14.69,23.1,36.3411,-0.015082776,0,0,-8.86176,21.1825152,-3.87519847,1.498,-3.4928,-15.7119,3.69117,-7.676994,23.07904995,
173,0.09178,0,4.05,0,0.51,6.416,84.1,2.6463,5,296,16.6,395.5,9.04,23.6,36.3411,-0.009948952,0,0,-8.86176,24.3910656,-3.95013201,1.498,-3.4928,-15.7119,3.67815,-4.724304,29.15747064,
174,0.08447,0,4.05,0,0.51,5.859,68.7,2.7019,5,296,16.6,393.23,9.64,22.6,36.3411,-0.009156548,0,0,-8.86176,22.2735744,-4.03312613,1.498,-3.4928,-15.7119,3.657039,-5.037864,26.62310672,
175,0.06664,0,4.05,0,0.51,6.546,33.1,3.1323,5,296,16.6,390.96,5.33,29.4,36.3411,-0.007223776,0,0,-8.86176,24.8852736,-4.67558421,1.498,-3.4928,-15.7119,3.635928,-2.785458,30.82557561,
176,0.07022,0,4.05,0,0.51,6.02,47.2,3.5549,5,296,16.6,393.23,10.11,23.2,36.3411,-0.007611848,0,0,-8.86176,22.885632,-5.30639923,1.498,-3.4928,-15.7119,3.657039,-5.283486,25.71781392,
177,0.05425,0,4.05,0,0.51,6.315,73.4,3.3175,5,296,16.6,395.6,6.29,24.6,36.3411,-0.0058807,0,0,-8.86176,24.007104,-4.95203225,1.498,-3.4928,-15.7119,3.67908,-3.287154,29.21375705,
178,0.06642,0,4.05,0,0.51,6.86,74.4,2.9153,5,296,16.6,391.27,6.92,29.9,36.3411,-0.007199928,0,0,-8.86176,26.078976,-4.35166831,1.498,-3.4928,-15.7119,3.638811,-3.616392,31.51516676,
179,0.0578,0,2.46,0,0.488,6.98,58.4,2.829,3,193,17.8,396.9,5.04,37.2,36.3411,-0.00626552,0,0,-8.479488,26.535168,-4.2228483,0.8988,-2.2774,-16.8477,3.69117,-2.633904,32.99863218,
180,0.06588,0,2.46,0,0.488,7.765,83.3,2.741,3,193,17.8,395.56,7.56,39.8,36.3411,-0.007141392,0,0,-8.479488,29.519424,-4.0914907,0.8988,-2.2774,-16.8477,3.678708,-3.950856,34.78395591,
181,0.06888,0,2.46,0,0.488,6.144,62.2,2.5979,3,193,17.8,396.9,9.45,36.2,36.3411,-0.007466592,0,0,-8.479488,23.3570304,-3.87788533,0.8988,-2.2774,-16.8477,3.69117,-4.93857,27.85959048,
182,0.09103,0,2.46,0,0.488,7.155,92.2,2.7006,3,193,17.8,394.12,4.82,37.9,36.3411,-0.009867652,0,0,-8.479488,27.200448,-4.03118562,0.8988,-2.2774,-16.8477,3.665316,-2.518932,33.94109073,
183,0.10008,0,2.46,0,0.488,6.563,95.6,2.847,3,193,17.8,396.9,5.68,32.5,36.3411,-0.010848672,0,0,-8.479488,24.9499008,-4.2497169,0.8988,-2.2774,-16.8477,3.69117,-2.968368,31.04744923,
184,0.08308,0,2.46,0,0.488,5.604,89.8,2.9879,3,193,17.8,391,13.98,26.4,36.3411,-0.009005872,0,0,-8.479488,21.3041664,-4.46003833,0.8988,-2.2774,-16.8477,3.6363,-7.305948,22.8007862,
185,0.06047,0,2.46,0,0.488,6.153,68.8,3.2797,3,193,17.8,387.11,13.15,29.6,36.3411,-0.006554948,0,0,-8.479488,23.3912448,-4.89560819,0.8988,-2.2774,-16.8477,3.600123,-6.87219,24.85232666,
186,0.05602,0,2.46,0,0.488,7.831,53.6,3.1992,3,193,17.8,392.63,4.45,50,36.3411,-0.006072568,0,0,-8.479488,29.7703296,-4.77544584,0.8988,-2.2774,-16.8477,3.651459,-2.32557,35.95001219,
187,0.07875,45,3.44,0,0.437,6.782,41.1,3.7886,5,398,15.2,393.87,6.68,32,36.3411,-0.0085365,2.061,0,-7.593312,25.7824512,-5.65524322,1.498,-4.6964,-14.3868,3.662991,-3.490968,33.51428248,
188,0.12579,45,3.44,0,0.437,6.556,29.1,4.5667,5,398,15.2,382.84,4.56,29.8,36.3411,-0.013635636,2.061,0,-7.593312,24.9232896,-6.81671309,1.498,-4.6964,-14.3868,3.560412,-2.383056,32.49388487,
189,0.0837,45,3.44,0,0.437,7.185,38.9,4.5667,5,398,15.2,396.9,5.39,34.9,36.3411,-0.00907308,2.061,0,-7.593312,27.314496,-6.81671309,1.498,-4.6964,-14.3868,3.69117,-2.816814,34.58665383,
190,0.09068,45,3.44,0,0.437,6.951,21.5,6.4798,5,398,15.2,377.68,5.1,37,36.3411,-0.009829712,2.061,0,-7.593312,26.4249216,-9.67239746,1.498,-4.6964,-14.3868,3.512424,-2.66526,30.81344643,
191,0.06911,45,3.44,0,0.437,6.739,30.8,6.4798,5,398,15.2,389.71,4.69,30.5,36.3411,-0.007491524,2.061,0,-7.593312,25.6189824,-9.67239746,1.498,-4.6964,-14.3868,3.624303,-2.450994,30.33599042,
192,0.08664,45,3.44,0,0.437,7.178,26.3,6.4798,5,398,15.2,390.49,2.87,36.4,36.3411,-0.009391776,2.061,0,-7.593312,27.2878848,-9.67239746,1.498,-4.6964,-14.3868,3.631557,-1.499862,32.96137856,
193,0.02187,60,2.93,0,0.401,6.8,9.9,6.2196,1,265,15.6,393.37,5.03,31.1,36.3411,-0.002370708,2.748,0,-6.967776,25.85088,-9.28399692,0.2996,-3.127,-14.7654,3.658341,-2.628678,32.12269937,
194,0.01439,60,2.93,0,0.401,6.604,18.8,6.2196,1,265,15.6,376.7,4.38,29.1,36.3411,-0.001559876,2.748,0,-6.967776,25.1057664,-9.28399692,0.2996,-3.127,-14.7654,3.50331,-2.288988,31.5630556,
195,0.01381,80,0.46,0,0.422,7.875,32,5.6484,4,255,14.4,394.23,2.97,50,36.3411,-0.001497004,3.664,0,-7.332672,29.9376,-8.43136668,1.1984,-3.009,-13.6296,3.666339,-1.552122,40.85118132,
196,0.04011,80,1.52,0,0.404,7.287,34.1,7.309,2,329,12.6,396.9,4.08,33.3,36.3411,-0.004347924,3.664,0,-7.019904,27.7022592,-10.9101443,0.5992,-3.8822,-11.9259,3.69117,-2.132208,36.12302498,
197,0.04666,80,1.52,0,0.404,7.107,36.6,7.309,2,329,12.6,354.31,8.61,30.3,36.3411,-0.005057944,3.664,0,-7.019904,27.0179712,-10.9101443,0.5992,-3.8822,-11.9259,3.295083,-4.499586,32.67456196,
198,0.03768,80,1.52,0,0.404,7.274,38.3,7.309,2,329,12.6,392.2,6.62,34.6,36.3411,-0.004084512,3.664,0,-7.019904,27.6528384,-10.9101443,0.5992,-3.8822,-11.9259,3.64746,-3.459612,34.70275359,
199,0.0315,95,1.47,0,0.403,6.975,15.3,7.6534,3,402,17,396.9,4.56,34.9,36.3411,-0.0034146,4.351,0,-7.002528,26.51616,-11.42423018,0.8988,-4.7436,-16.0905,3.69117,-2.383056,30.15090122,
200,0.01778,95,1.47,0,0.403,7.135,13.9,7.6534,3,402,17,384.3,4.45,32.9,36.3411,-0.001927352,4.351,0,-7.002528,27.124416,-11.42423018,0.8988,-4.7436,-16.0905,3.57399,-2.32557,30.70095047,
201,0.03445,82.5,2.03,0,0.415,6.162,38.4,6.27,2,348,14.7,393.77,7.43,24.1,36.3411,-0.00373438,3.7785,0,-7.21104,23.4254592,-9.359229,0.5992,-4.1064,-13.91355,3.662061,-3.882918,29.32944882,
202,0.02177,82.5,2.03,0,0.415,7.61,15.7,6.27,2,348,14.7,395.38,3.11,42.3,36.3411,-0.002359868,3.7785,0,-7.21104,28.930176,-9.359229,0.5992,-4.1064,-13.91355,3.677034,-1.625286,37.10814513,
203,0.0351,95,2.68,0,0.4161,7.853,33.2,5.118,4,224,14.7,392.78,3.81,48.5,36.3411,-0.00380484,4.351,0,-7.2301536,29.8539648,-7.6396386,1.1984,-2.6432,-13.91355,3.652854,-1.991106,41.97586576,
204,0.02009,95,2.68,0,0.4161,8.034,31.9,5.118,4,224,14.7,390.55,2.88,50,36.3411,-0.002177756,4.351,0,-7.2301536,30.5420544,-7.6396386,1.1984,-2.6432,-13.91355,3.632115,-1.505088,43.13086144,
205,0.13642,0,10.59,0,0.489,5.891,22.3,3.9454,4,277,18.6,396.9,10.87,22.6,36.3411,-0.014787928,0,0,-8.496864,22.3952256,-5.88929858,1.1984,-3.2686,-17.6049,3.69117,-5.680662,22.67078309,
206,0.22969,0,10.59,0,0.489,6.326,52.5,4.3549,4,277,18.6,394.87,10.97,24.4,36.3411,-0.024898396,0,0,-8.496864,24.0489216,-6.50055923,1.1984,-3.2686,-17.6049,3.672291,-5.732922,23.63196897,
207,0.25199,0,10.59,0,0.489,5.783,72.7,4.3549,4,277,18.6,389.43,18.06,22.5,36.3411,-0.027315716,0,0,-8.496864,21.9846528,-6.50055923,1.1984,-3.2686,-17.6049,3.621699,-9.438156,17.80945685,
208,0.13587,0,10.59,1,0.489,6.064,59.1,4.2392,4,277,18.6,381.32,14.66,24.4,36.3411,-0.014728308,0,2.7187,-8.496864,23.0529024,-6.32785384,1.1984,-3.2686,-17.6049,3.546276,-7.661316,23.48311625,
209,0.43571,0,10.59,1,0.489,5.344,100,3.875,4,277,18.6,396.9,23.09,20,36.3411,-0.047230964,0,2.7187,-8.496864,20.3157504,-5.7842125,1.1984,-3.2686,-17.6049,3.69117,-12.066834,16.99647894,
210,0.17446,0,10.59,1,0.489,5.96,92.1,3.8771,4,277,18.6,393.25,17.27,21.7,36.3411,-0.018911464,0,2.7187,-8.496864,22.657536,-5.78734717,1.1984,-3.2686,-17.6049,3.657225,-9.025302,22.37103637,
211,0.37578,0,10.59,1,0.489,5.404,88.6,3.665,4,277,18.6,395.24,23.98,19.3,36.3411,-0.040734552,0,2.7187,-8.496864,20.5438464,-5.4707455,1.1984,-3.2686,-17.6049,3.675732,-12.531948,17.06398635,
212,0.21719,0,10.59,1,0.489,5.807,53.8,3.6526,4,277,18.6,390.94,16.03,22.4,36.3411,-0.023543396,0,2.7187,-8.496864,22.0758912,-5.45223602,1.1984,-3.2686,-17.6049,3.635742,-8.377278,22.74641178,
213,0.14052,0,10.59,0,0.489,6.375,32.3,3.9454,4,277,18.6,385.81,9.38,28.1,36.3411,-0.015232368,0,0,-8.496864,24.2352,-5.88929858,1.1984,-3.2686,-17.6049,3.588033,-4.901988,25.18585005,
214,0.28955,0,10.59,0,0.489,5.412,9.8,3.5875,4,277,18.6,348.93,29.55,23.7,36.3411,-0.03138722,0,0,-8.496864,20.5742592,-5.35506125,1.1984,-3.2686,-17.6049,3.245049,-15.44283,11.15916573,
215,0.19802,0,10.59,0,0.489,6.182,42.4,3.9454,4,277,18.6,393.63,9.47,25,36.3411,-0.021465368,0,0,-8.496864,23.5014912,-5.88929858,1.1984,-3.2686,-17.6049,3.660759,-4.949022,24.47160025,
216,0.0456,0,13.89,1,0.55,5.888,56,3.1121,5,276,16.4,392.8,13.51,23.3,36.3411,-0.00494304,0,2.7187,-9.5568,22.3838208,-4.64543167,1.498,-3.2568,-15.5226,3.65304,-7.060326,26.54776009,
217,0.07013,0,13.89,0,0.55,6.642,85.1,3.4211,5,276,16.4,392.78,9.69,28.7,36.3411,-0.007602092,0,0,-9.5568,25.2502272,-5.10667597,1.498,-3.2568,-15.5226,3.652854,-5.063994,28.22770914,
218,0.11069,0,13.89,1,0.55,5.951,93.8,2.8893,5,276,16.4,396.9,17.92,21.5,36.3411,-0.011998796,0,2.7187,-9.5568,22.6233216,-4.31285811,1.498,-3.2568,-15.5226,3.69117,-9.364992,24.84624269,
219,0.11425,0,13.89,1,0.55,6.373,92.4,3.3633,5,276,16.4,393.74,10.5,23,36.3411,-0.0123847,0,2.7187,-9.5568,24.2275968,-5.02039791,1.498,-3.2568,-15.5226,3.661782,-5.4873,29.59089619,
220,0.35809,0,6.2,1,0.507,6.951,88.5,2.8617,8,307,17.4,391.7,9.71,26.7,36.3411,-0.038816956,0,2.7187,-8.809632,26.4249216,-4.27165959,2.3968,-3.6226,-16.4691,3.64281,-5.074446,33.23807705,
221,0.40771,0,6.2,1,0.507,6.164,91.3,3.048,8,307,17.4,395.24,21.46,21.7,36.3411,-0.044195764,0,2.7187,-8.809632,23.4330624,-4.5497496,2.3968,-3.6226,-16.4691,3.675732,-11.214996,23.85512104,
222,0.62356,0,6.2,1,0.507,6.879,77.7,3.2721,8,307,17.4,390.39,9.93,27.5,36.3411,-0.067593904,0,2.7187,-8.809632,26.1512064,-4.88426367,2.3968,-3.6226,-16.4691,3.630627,-5.189418,32.19582583,
223,0.6147,0,6.2,0,0.507,6.618,80.8,3.2721,8,307,17.4,396.9,7.6,30.1,36.3411,-0.06663348,0,0,-8.809632,25.1589888,-4.88426367,2.3968,-3.6226,-16.4691,3.69117,-3.97176,29.76406965,
224,0.31533,0,6.2,0,0.504,8.266,78.3,2.8944,8,307,17.4,385.05,4.14,44.8,36.3411,-0.034181772,0,0,-8.757504,31.4240256,-4.32047088,2.3968,-3.6226,-16.4691,3.580965,-2.163564,38.37546995,
225,0.52693,0,6.2,0,0.504,8.725,83,2.8944,8,307,17.4,382,4.63,50,36.3411,-0.057119212,0,0,-8.757504,33.16896,-4.32047088,2.3968,-3.6226,-16.4691,3.5526,-2.419638,39.81302791,
